Voltage,Current,Temperature,VMean,IMean,TMean,VMedian,IMedian,TMedian,Vstd,Istd,TStd,VVariance,IVariance,TVariance,Power,Resistance,Conductance,temp_change,SOC
0.4000000000000057,0.0,1.0,1.0,0.0,0.22222222222222854,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.0,0.9999999999999999,0.0,0.0,104.26
0.4000000000000057,0.04347826086956508,0.0,0.8823529411766913,0.2124999999999999,0.11111111111111427,0.0,0.545454545454545,0.0,1.0,0.8653493252011422,0.92498945941372,1.0,0.7995603517186249,0.8806818181818178,0.04361334420754204,0.9035086588734659,0.04334377295750691,1.0,104.26
0.4000000000000057,0.0,0.0,0.7647058823530415,0.3875000000000002,0.5555555555555713,0.0,0.6363636363636367,0.0,0.9838045974398427,0.6484889528210596,0.7329482837184127,0.9678714859437748,0.5197841726618704,0.6079545454545462,0.0,0.9999999999999999,0.0,0.0,104.26
1.0,0.608695652173913,0.49999999999999645,0.6470588235293917,0.6375000000000002,0.8888888888888857,0.0,0.8181818181818183,0.0,0.9505863757867109,0.24993063011884087,0.22498433638703025,0.9036144578313248,0.14408473221422863,0.11363636363636456,0.6141986096547436,0.21816319988824484,0.6032329183100269,0.4999999999999982,105.04
0.0,0.4782608695652174,0.75,0.352941176470722,0.6625000000000005,1.0,0.0,0.8181818181818183,0.0,0.0,0.240955939335877,0.09432653698145188,0.0,0.13768984812150264,0.039772727272727605,0.4775719445415356,0.31579034583326415,0.47894675791671526,0.2500000000000009,103.47
0.0,0.3913043478260868,1.0,0.352941176470722,0.8000000000000007,1.0,0.0,0.8181818181818183,0.0,0.0,0.24405541882267245,0.09432653698145188,0.0,0.13988808952837728,0.039772727272727605,0.3905006019651249,0.3967622293802552,0.39210455090283425,0.2500000000000009,103.47
0.0,0.7391304347826088,0.75,0.352941176470722,0.9249999999999998,0.8888888888888857,0.0,0.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7387859722707677,0.13003131887252062,0.7394733789583576,0.2500000000000009,103.47
0.0,0.8695652173913041,0.75,0.352941176470722,1.0,0.8888888888888857,0.0,1.0,0.0,0.0,0.08439812882747366,0.0,0.0,0.040767386091127095,0.0,0.869392986135384,0.059744119481968894,0.8697366894791789,0.0,103.47
0.0,0.7391304347826088,0.75,0.352941176470722,0.9375,0.8888888888888857,0.0,0.8181818181818183,0.0,0.0,0.11538478527421259,0.0,0.0,0.057753796962430035,0.0,0.7387859722707677,0.13003131887252062,0.7394733789583576,0.0,103.47
0.0,0.7391304347826088,0.75,0.352941176470722,0.9124999999999996,0.6666666666666714,0.0,0.8181818181818183,0.0,0.0,0.14289150915914395,0.37730614792580736,0.0,0.0737410071942446,0.22727272727272915,0.7387859722707677,0.13003131887252062,0.7394733789583576,0.0,103.47
0.0,0.7391304347826088,0.75,0.352941176470722,0.875,0.6666666666666714,0.0,0.7272727272727275,0.0,0.0,0.1863168101210858,0.37730614792580736,0.0,0.10071942446043168,0.22727272727272915,0.7387859722707677,0.13003131887252062,0.7394733789583576,0.0,103.47
0.0,0.6521739130434782,1.0,0.352941176470722,0.8125,0.6666666666666714,0.0,0.545454545454545,0.0,0.0,0.26859314829469094,0.37730614792580736,0.0,0.15767386091127106,0.2272727272727291,0.6517146296943568,0.18421103506940417,0.6526311719444768,0.2500000000000009,103.47
0.0,0.8695652173913041,0.75,0.352941176470722,0.8374999999999995,0.5555555555555713,0.0,0.7272727272727275,0.0,0.0,0.2554760090400311,0.2829796109443556,0.0,0.14808153477218233,0.15340909090909222,0.869392986135384,0.059744119481968894,0.8697366894791789,0.2500000000000009,103.47
0.0,0.6956521739130433,0.75,0.352941176470722,0.7999999999999998,0.5555555555555713,0.0,0.7272727272727275,0.0,0.0,0.2327101081559414,0.2829796109443556,0.0,0.1318944844124701,0.15340909090909222,0.6952503009825624,0.15630027218010045,0.6960522754514173,0.0,103.47
0.0,0.9565217391304347,0.75,0.176470588235361,0.8374999999999995,0.5555555555555713,0.0,0.8181818181818183,0.0,0.5703518254720155,0.2386921064998,0.2829796109443556,0.3253012048193157,0.13609112709832144,0.15340909090909222,0.9564643287117942,0.018893439494297892,0.9565788964930597,0.0,103.47
0.0,0.8260869565217389,0.75,0.176470588235361,0.8624999999999998,0.22222222222222854,0.0,0.8181818181818183,0.0,0.5703518254720155,0.29925640852965785,0.6835797694280459,0.3253012048193157,0.1808553157474021,0.545454545454546,0.8258573148471784,0.08187157114195753,0.8263155859722384,0.0,103.47
0.0,0.9999999999999999,0.75,0.0,0.8000000000000007,0.11111111111111427,0.0,0.6363636363636367,0.0,0.7604691006293915,0.3183711724285202,0.6789660944917502,0.5783132530121168,0.19584332533972826,0.5397727272727278,1.0,0.0,1.0000000000000002,0.0,103.47
0.0,0.6521739130434782,0.75,0.0,0.7125000000000012,0.0,0.0,0.545454545454545,0.0,0.7604691006293915,0.20966816385426734,0.6649903534902926,0.5783132530121168,0.1161071143085531,0.5227272727272734,0.6517146296943568,0.18421103506940417,0.6526311719444768,0.0,103.47
0.0,0.6521739130434782,0.24999999999999645,0.0,0.8250000000000002,0.0,0.0,0.7272727272727275,0.0,0.7604691006293915,0.34210574561422713,0.6649903534902926,0.5783132530121167,0.21502797761790554,0.5227272727272733,0.6517146296943568,0.18421103506940417,0.6526311719444768,0.5000000000000018,103.47
